,0
0,3.4239206486397498
1,3.443429229946084
2,3.433057579124995
3,3.4137959418858297
4,3.429929620940857
5,3.4191875540190146
6,3.434004198049142
7,3.4171708441371362
8,3.412972794995267
9,3.42523768366465
10,3.4317405441000948
11,3.419557970119768
12,3.3987735111330615
13,3.431205498621229
14,3.4272543935465283
15,3.3949047207474172
16,3.432604848335185
17,3.4061406758035973
18,3.4231386590937154
19,3.4514960694735977
20,3.436555953409886
21,3.408857060542454
22,3.404617854056056
23,3.407704654895666
24,3.4249907395974812
25,3.442564925710993
26,3.4250318969420093
27,3.4306704531423633
28,3.434333456805367
29,3.4537597234226447
30,3.415442235666955
31,3.437749516401202
32,3.4382845618800677
33,3.418611351195621
34,3.4408363172408114
35,3.429065316705766
36,3.44968514631436
37,3.418940609951846
38,3.450467135860394
39,3.4417006214759023
40,3.436514796065358
41,3.408527801786229
42,3.410791455735276
43,3.435568177141211
44,3.4307527678314194
45,3.4052763715685064
46,3.4194344980861833
47,3.4021484133843685
48,3.4287772152940694
49,3.446227929373997
50,3.4024776721405936
51,3.407087294727744
52,3.413713627196773
53,3.42964151952916
54,3.4512491254064286
55,3.4213688932790056
56,3.452607317775857
57,3.4406716878626993
58,3.4533481499773635
59,3.404165123266247
60,3.425937358521628
61,3.419557970119768
62,3.3801703914063466
63,3.4032185043421
64,3.4300530929744415
65,3.397291846730049
66,3.4410832613079805
67,3.4169239000699676
68,3.4514960694735977
69,3.4050294275013377
70,3.4394781248713833
71,3.4182820924393957
72,3.428653743260485
73,3.4157714944231796
74,3.411161871836029
75,3.4216981520352308
76,3.4134666831296046
77,3.423097501749187
78,3.4263489319669094
79,3.4533481499773635
80,3.4226447709593777
81,3.438654977980821
82,3.402395357451537
83,3.419599127464296
84,3.4307116104868913
85,3.421739309379759
86,3.450055562415113
87,3.4639667448656213
88,3.4161007531794048
89,3.413302053751492
90,3.4248672675638967
91,3.450672922583035
92,3.4332222085031074
93,3.424661480841256
94,3.3920237066304484
95,3.4464337160966374
96,3.4319874881672634
97,3.444334691525703
98,3.4200518582541055
99,3.442523768366465
100,3.4510844960283165
101,3.4320286455117914
102,3.395110507470058
103,3.415195291599786
104,3.4272132362020002
105,3.4263489319669094
106,3.3868378812199036
107,3.423303288471828
