,visitor_score,home_score,MOV,mov
301,0,4,4,-4
302,5,10,5,-5
303,2,6,4,-4
304,4,5,1,-1
305,3,4,1,-1
306,8,3,5,5
307,6,11,5,-5
308,6,5,1,1
309,3,10,7,-7
310,5,6,1,-1
311,2,0,2,2
312,3,2,1,1
313,12,11,1,1
314,6,4,2,2
315,6,4,2,2
316,6,5,1,1
317,3,7,4,-4
318,7,6,1,1
319,0,6,6,-6
320,4,0,4,4
321,0,3,3,-3
322,1,11,10,-10
323,7,5,2,2
324,3,6,3,-3
325,13,5,8,8
326,4,2,2,2
327,2,0,2,2
328,0,9,9,-9
329,4,10,6,-6
330,4,5,1,-1
331,9,3,6,6
332,6,10,4,-4
333,4,6,2,-2
334,2,0,2,2
335,3,2,1,1
336,2,10,8,-8
337,2,4,2,-2
338,5,11,6,-6
339,7,1,6,6
340,2,6,4,-4
341,9,1,8,8
342,0,3,3,-3
343,2,5,3,-3
344,3,2,1,1
345,9,12,3,-3
346,4,5,1,-1
347,2,3,1,-1
348,7,6,1,1
349,6,3,3,3
350,4,2,2,2
351,4,3,1,1
352,1,10,9,-9
353,5,7,2,-2
354,1,7,6,-6
355,1,5,4,-4
356,0,10,10,-10
357,2,1,1,1
358,1,6,5,-5
359,3,6,3,-3
360,2,3,1,-1
361,8,3,5,5
362,1,5,4,-4
363,3,12,9,-9
364,3,1,2,2
365,0,1,1,-1
366,3,9,6,-6
367,1,7,6,-6
368,5,10,5,-5
369,3,9,6,-6
370,3,9,6,-6
371,5,11,6,-6
372,0,8,8,-8
373,4,1,3,3
374,0,6,6,-6
375,8,17,9,-9
376,1,5,4,-4
377,5,1,4,4
378,4,10,6,-6
379,1,4,3,-3
380,4,2,2,2
381,2,3,1,-1
382,9,1,8,8
383,6,3,3,3
384,5,2,3,3
385,1,5,4,-4
386,7,2,5,5
387,8,5,3,3
388,3,4,1,-1
389,1,4,3,-3
390,6,7,1,-1
391,5,2,3,3
392,5,4,1,1
393,9,6,3,3
394,1,0,1,1
395,11,6,5,5
396,1,2,1,-1
397,2,3,1,-1
398,2,3,1,-1
399,3,6,3,-3
400,1,3,2,-2
401,2,9,7,-7
402,5,4,1,1
403,4,5,1,-1
404,5,7,2,-2
405,1,4,3,-3
406,8,3,5,5
407,4,5,1,-1
408,3,2,1,1
409,2,4,2,-2
410,11,3,8,8
411,0,4,4,-4
412,2,4,2,-2
413,6,5,1,1
414,7,6,1,1
415,6,11,5,-5
416,2,0,2,2
417,2,0,2,2
418,8,0,8,8
419,12,13,1,-1
420,6,3,3,3
421,6,3,3,3
422,3,7,4,-4
423,2,7,5,-5
424,1,11,10,-10
425,2,3,1,-1
426,10,3,7,7
427,7,4,3,3
428,4,1,3,3
429,8,0,8,8
430,1,4,3,-3
431,3,2,1,1
432,14,7,7,7
433,7,0,7,7
434,5,6,1,-1
435,4,6,2,-2
436,0,7,7,-7
437,4,3,1,1
438,4,2,2,2
439,14,3,11,11
440,3,7,4,-4
441,6,4,2,2
442,7,3,4,4
443,1,6,5,-5
444,2,4,2,-2
445,4,3,1,1
446,2,3,1,-1
447,17,3,14,14
448,2,14,12,-12
449,2,1,1,1
450,8,0,8,8
451,4,5,1,-1
452,4,1,3,3
453,0,2,2,-2
454,4,5,1,-1
455,3,9,6,-6
456,9,7,2,2
457,4,7,3,-3
458,0,6,6,-6
459,0,4,4,-4
460,1,8,7,-7
461,4,6,2,-2
462,6,1,5,5
463,3,5,2,-2
464,3,4,1,-1
465,0,2,2,-2
466,6,5,1,1
467,3,5,2,-2
468,11,4,7,7
469,2,3,1,-1
470,4,5,1,-1
471,6,7,1,-1
472,4,5,1,-1
473,7,3,4,4
474,4,2,2,2
475,9,5,4,4
476,8,2,6,6
477,3,2,1,1
478,2,1,1,1
479,7,2,5,5
480,5,1,4,4
481,1,6,5,-5
482,8,2,6,6
483,5,2,3,3
484,7,6,1,1
485,13,3,10,10
486,3,2,1,1
487,11,3,8,8
488,6,8,2,-2
489,9,0,9,9
490,3,2,1,1
491,6,3,3,3
492,4,3,1,1
493,2,5,3,-3
494,3,2,1,1
495,0,2,2,-2
496,8,0,8,8
497,4,0,4,4
498,2,3,1,-1
499,1,10,9,-9
500,6,3,3,3
501,3,4,1,-1
502,3,4,1,-1
503,9,2,7,7
504,6,4,2,2
505,5,0,5,5
506,5,2,3,3
507,9,6,3,3
508,5,6,1,-1
509,0,6,6,-6
510,4,6,2,-2
511,1,2,1,-1
512,14,6,8,8
513,1,2,1,-1
514,1,0,1,1
515,4,1,3,3
516,0,4,4,-4
517,1,8,7,-7
518,7,2,5,5
519,1,6,5,-5
520,4,8,4,-4
521,4,3,1,1
522,10,16,6,-6
523,5,6,1,-1
524,10,6,4,4
525,4,3,1,1
526,2,7,5,-5
527,9,5,4,4
528,4,3,1,1
529,2,8,6,-6
530,3,12,9,-9
531,8,2,6,6
532,6,7,1,-1
533,5,4,1,1
534,1,7,6,-6
535,2,3,1,-1
536,0,6,6,-6
537,11,1,10,10
538,4,3,1,1
539,3,4,1,-1
540,2,6,4,-4
541,3,4,1,-1
