,visitor_score,home_score,MOV,mov
6963,3,4,1,-1
6964,5,6,1,-1
6965,4,1,3,3
6966,1,4,3,-3
6967,5,1,4,4
6968,1,3,2,-2
6969,3,11,8,-8
6970,6,5,1,1
6971,2,9,7,-7
6972,3,4,1,-1
6973,5,3,2,2
6974,9,1,8,8
6975,4,6,2,-2
6976,4,3,1,1
6977,0,1,1,-1
6978,3,5,2,-2
6979,9,8,1,1
6980,0,1,1,-1
6981,0,5,5,-5
6982,5,3,2,2
6983,7,9,2,-2
6984,4,6,2,-2
6985,4,1,3,3
6986,2,3,1,-1
6987,5,4,1,1
6988,8,6,2,2
6989,10,5,5,5
6990,2,5,3,-3
6991,3,2,1,1
6992,2,3,1,-1
6993,1,2,1,-1
6994,8,3,5,5
6995,5,1,4,4
6996,2,8,6,-6
6997,2,0,2,2
6998,1,3,2,-2
6999,2,3,1,-1
7000,0,6,6,-6
7001,2,3,1,-1
7002,2,0,2,2
7003,3,4,1,-1
7004,5,4,1,1
7005,3,8,5,-5
7006,4,6,2,-2
7007,2,1,1,1
7008,4,0,4,4
7009,9,7,2,2
7010,6,0,6,6
7011,6,4,2,2
7012,2,3,1,-1
7013,3,9,6,-6
7014,8,5,3,3
7015,6,2,4,4
7016,1,2,1,-1
7017,4,7,3,-3
7018,12,6,6,6
7019,5,8,3,-3
7020,0,4,4,-4
7021,7,3,4,4
7022,7,4,3,3
7023,5,3,2,2
7024,2,3,1,-1
7025,5,3,2,2
7026,3,5,2,-2
7027,2,5,3,-3
7028,8,6,2,2
7029,3,2,1,1
7030,3,2,1,1
7031,4,5,1,-1
7032,7,6,1,1
7033,0,5,5,-5
7034,3,4,1,-1
7035,4,6,2,-2
7036,6,9,3,-3
7037,3,4,1,-1
7038,6,7,1,-1
7039,4,3,1,1
7040,9,2,7,7
7041,4,6,2,-2
7042,9,5,4,4
7043,1,2,1,-1
7044,0,5,5,-5
7045,2,10,8,-8
7046,1,5,4,-4
7047,9,13,4,-4
7048,6,7,1,-1
7049,5,2,3,3
7050,5,4,1,1
7051,0,3,3,-3
7052,11,12,1,-1
7053,4,5,1,-1
7054,10,4,6,6
7055,5,2,3,3
7056,3,0,3,3
7057,7,5,2,2
7058,3,1,2,2
7059,1,2,1,-1
7060,3,11,8,-8
7061,6,5,1,1
7062,2,12,10,-10
7063,3,2,1,1
7064,4,2,2,2
7065,7,5,2,2
7066,2,3,1,-1
7067,3,1,2,2
7068,3,4,1,-1
7069,6,0,6,6
7070,3,6,3,-3
7071,1,4,3,-3
7072,6,2,4,4
7073,6,4,2,2
7074,2,6,4,-4
7075,0,3,3,-3
7076,2,4,2,-2
7077,1,2,1,-1
7078,3,1,2,2
7079,3,13,10,-10
7080,2,6,4,-4
7081,6,5,1,1
7082,3,0,3,3
7083,3,2,1,1
7084,3,1,2,2
7085,1,7,6,-6
7086,0,5,5,-5
7087,1,3,2,-2
7088,7,6,1,1
7089,3,1,2,2
7090,3,4,1,-1
7091,12,4,8,8
7092,3,4,1,-1
7093,7,10,3,-3
7094,4,7,3,-3
7095,6,5,1,1
7096,5,3,2,2
7097,16,1,15,15
7098,9,7,2,2
7099,2,9,7,-7
7100,4,5,1,-1
7101,1,4,3,-3
7102,2,6,4,-4
7103,4,2,2,2
7104,3,6,3,-3
7105,1,2,1,-1
7106,3,6,3,-3
7107,1,12,11,-11
7108,4,5,1,-1
7109,3,1,2,2
7110,15,5,10,10
7111,1,7,6,-6
7112,3,7,4,-4
7113,2,6,4,-4
7114,1,5,4,-4
7115,4,2,2,2
7116,2,4,2,-2
7117,9,6,3,3
7118,0,8,8,-8
7119,3,5,2,-2
7120,9,10,1,-1
7121,0,1,1,-1
7122,5,11,6,-6
7123,5,4,1,1
7124,0,6,6,-6
7125,8,7,1,1
7126,1,4,3,-3
7127,3,4,1,-1
7128,8,2,6,6
7129,4,8,4,-4
7130,4,10,6,-6
7131,1,4,3,-3
7132,1,2,1,-1
7133,10,4,6,6
7134,2,1,1,1
7135,15,4,11,11
7136,5,4,1,1
7137,3,2,1,1
7138,0,3,3,-3
7139,6,3,3,3
7140,5,3,2,2
7141,10,7,3,3
7142,8,1,7,7
7143,2,3,1,-1
7144,2,1,1,1
7145,6,4,2,2
7146,6,2,4,4
7147,1,4,3,-3
7148,9,5,4,4
7149,4,5,1,-1
7150,2,6,4,-4
7151,6,3,3,3
7152,4,5,1,-1
7153,2,4,2,-2
7154,6,1,5,5
7155,2,6,4,-4
7156,2,12,10,-10
7157,4,5,1,-1
7158,4,0,4,4
7159,5,2,3,3
7160,4,3,1,1
7161,0,2,2,-2
7162,4,5,1,-1
7163,3,2,1,1
7164,3,4,1,-1
7165,2,4,2,-2
7166,5,10,5,-5
7167,4,0,4,4
7168,10,6,4,4
7169,3,6,3,-3
7170,1,2,1,-1
7171,7,2,5,5
7172,3,4,1,-1
7173,2,12,10,-10
7174,4,2,2,2
7175,6,4,2,2
7176,4,5,1,-1
7177,8,2,6,6
7178,9,3,6,6
7179,0,3,3,-3
7180,8,1,7,7
7181,0,6,6,-6
7182,0,2,2,-2
7183,0,6,6,-6
7184,8,4,4,4
7185,8,2,6,6
7186,0,6,6,-6
7187,9,4,5,5
7188,3,2,1,1
7189,4,5,1,-1
7190,7,9,2,-2
7191,0,6,6,-6
7192,2,6,4,-4
7193,1,2,1,-1
7194,5,7,2,-2
7195,5,6,1,-1
7196,7,3,4,4
7197,8,4,4,4
7198,3,7,4,-4
7199,1,9,8,-8
7200,1,3,2,-2
7201,5,8,3,-3
7202,2,4,2,-2
7203,2,8,6,-6
7204,7,4,3,3
7205,11,4,7,7
7206,3,8,5,-5
7207,3,1,2,2
7208,0,8,8,-8
7209,1,2,1,-1
7210,7,6,1,1
7211,1,0,1,1
7212,3,1,2,2
7213,2,12,10,-10
7214,3,4,1,-1
7215,10,4,6,6
7216,7,6,1,1
7217,6,4,2,2
7218,4,7,3,-3
7219,2,3,1,-1
7220,2,8,6,-6
7221,0,2,2,-2
7222,0,3,3,-3
7223,9,5,4,4
7224,5,9,4,-4
7225,1,2,1,-1
7226,3,7,4,-4
7227,6,4,2,2
7228,3,6,3,-3
7229,6,2,4,4
7230,3,15,12,-12
7231,2,1,1,1
7232,2,5,3,-3
7233,5,4,1,1
7234,7,8,1,-1
7235,9,6,3,3
7236,7,2,5,5
7237,2,6,4,-4
7238,1,7,6,-6
7239,4,1,3,3
7240,7,0,7,7
7241,4,3,1,1
7242,7,5,2,2
7243,4,10,6,-6
7244,11,0,11,11
7245,6,3,3,3
7246,2,10,8,-8
7247,3,4,1,-1
7248,8,4,4,4
7249,3,5,2,-2
7250,5,6,1,-1
7251,7,5,2,2
7252,3,0,3,3
7253,2,3,1,-1
7254,2,3,1,-1
7255,3,5,2,-2
7256,1,2,1,-1
7257,2,4,2,-2
7258,2,0,2,2
7259,3,4,1,-1
7260,2,4,2,-2
7261,3,4,1,-1
7262,1,3,2,-2
7263,1,6,5,-5
7264,1,0,1,1
7265,3,4,1,-1
7266,3,5,2,-2
7267,3,0,3,3
7268,4,3,1,1
7269,3,4,1,-1
7270,3,4,1,-1
7271,1,5,4,-4
7272,3,1,2,2
7273,2,4,2,-2
7274,9,0,9,9
7275,1,0,1,1
7276,2,14,12,-12
7277,5,12,7,-7
7278,0,12,12,-12
7279,1,4,3,-3
7280,1,2,1,-1
7281,2,1,1,1
7282,4,5,1,-1
7283,1,5,4,-4
7284,4,2,2,2
7285,7,6,1,1
7286,4,0,4,4
7287,0,1,1,-1
7288,1,5,4,-4
7289,2,8,6,-6
7290,0,1,1,-1
7291,4,2,2,2
7292,8,2,6,6
7293,2,0,2,2
7294,2,6,4,-4
7295,5,7,2,-2
7296,3,1,2,2
7297,0,4,4,-4
7298,4,5,1,-1
7299,2,11,9,-9
7300,3,1,2,2
7301,0,2,2,-2
7302,7,0,7,7
7303,7,1,6,6
7304,7,4,3,3
7305,4,1,3,3
7306,6,1,5,5
7307,3,0,3,3
7308,8,4,4,4
7309,2,5,3,-3
7310,4,0,4,4
7311,2,3,1,-1
7312,7,4,3,3
7313,2,6,4,-4
7314,7,8,1,-1
7315,3,2,1,1
7316,9,10,1,-1
7317,2,9,7,-7
7318,4,5,1,-1
7319,5,3,2,2
7320,7,3,4,4
7321,4,8,4,-4
7322,0,3,3,-3
7323,0,3,3,-3
7324,3,1,2,2
7325,2,8,6,-6
7326,2,4,2,-2
7327,2,8,6,-6
7328,6,3,3,3
7329,8,10,2,-2
7330,2,0,2,2
7331,4,5,1,-1
7332,2,1,1,1
7333,3,2,1,1
7334,1,6,5,-5
7335,5,9,4,-4
7336,8,7,1,1
7337,3,8,5,-5
7338,8,3,5,5
7339,0,4,4,-4
7340,2,3,1,-1
7341,6,4,2,2
7342,1,4,3,-3
7343,0,15,15,-15
7344,2,5,3,-3
7345,0,3,3,-3
7346,3,1,2,2
7347,7,5,2,2
7348,13,4,9,9
7349,0,1,1,-1
7350,6,5,1,1
7351,3,4,1,-1
7352,4,8,4,-4
7353,6,3,3,3
7354,0,6,6,-6
7355,8,4,4,4
7356,0,5,5,-5
7357,5,6,1,-1
7358,7,6,1,1
7359,3,6,3,-3
7360,0,1,1,-1
7361,9,2,7,7
7362,3,7,4,-4
7363,3,4,1,-1
7364,6,3,3,3
7365,4,3,1,1
7366,3,4,1,-1
7367,7,0,7,7
7368,9,3,6,6
7369,13,0,13,13
7370,3,7,4,-4
7371,13,0,13,13
7372,1,5,4,-4
7373,3,6,3,-3
7374,1,9,8,-8
7375,2,6,4,-4
7376,8,7,1,1
7377,3,4,1,-1
7378,9,8,1,1
7379,14,3,11,11
7380,1,3,2,-2
7381,11,6,5,5
7382,1,3,2,-2
7383,0,3,3,-3
7384,4,5,1,-1
7385,5,3,2,2
7386,7,4,3,3
7387,2,0,2,2
7388,7,2,5,5
7389,2,4,2,-2
7390,13,4,9,9
7391,9,5,4,4
7392,14,1,13,13
7393,3,7,4,-4
7394,4,7,3,-3
7395,16,9,7,7
7396,1,6,5,-5
7397,6,5,1,1
7398,3,6,3,-3
7399,3,2,1,1
7400,3,8,5,-5
7401,3,9,6,-6
7402,6,9,3,-3
7403,1,5,4,-4
7404,7,8,1,-1
7405,11,5,6,6
7406,8,5,3,3
7407,8,6,2,2
7408,0,3,3,-3
7409,8,3,5,5
7410,2,0,2,2
7411,2,10,8,-8
7412,8,0,8,8
7413,3,7,4,-4
7414,4,3,1,1
7415,0,10,10,-10
7416,0,10,10,-10
7417,2,5,3,-3
7418,8,1,7,7
7419,3,2,1,1
7420,1,11,10,-10
7421,4,3,1,1
7422,7,6,1,1
7423,3,2,1,1
7424,4,7,3,-3
7425,5,0,5,5
7426,0,1,1,-1
7427,8,4,4,4
7428,16,5,11,11
7429,2,5,3,-3
7430,3,4,1,-1
7431,1,3,2,-2
7432,0,3,3,-3
7433,3,4,1,-1
7434,3,1,2,2
7435,5,6,1,-1
7436,7,5,2,2
7437,0,2,2,-2
7438,6,4,2,2
7439,4,5,1,-1
7440,1,2,1,-1
7441,4,9,5,-5
7442,3,2,1,1
7443,4,2,2,2
7444,5,3,2,2
7445,7,3,4,4
7446,3,1,2,2
7447,7,5,2,2
7448,3,2,1,1
7449,1,2,1,-1
7450,1,3,2,-2
7451,9,5,4,4
7452,0,8,8,-8
7453,3,1,2,2
7454,1,4,3,-3
7455,0,5,5,-5
7456,3,1,2,2
7457,2,3,1,-1
7458,0,3,3,-3
7459,10,1,9,9
7460,3,4,1,-1
7461,0,1,1,-1
7462,10,7,3,3
7463,2,1,1,1
7464,7,10,3,-3
7465,2,1,1,1
7466,4,3,1,1
7467,9,0,9,9
7468,2,3,1,-1
7469,2,8,6,-6
7470,2,11,9,-9
7471,3,4,1,-1
7472,2,4,2,-2
7473,6,3,3,3
7474,10,3,7,7
7475,10,6,4,4
7476,4,5,1,-1
7477,7,2,5,5
7478,6,8,2,-2
7479,2,4,2,-2
7480,3,4,1,-1
7481,6,2,4,4
7482,4,3,1,1
7483,3,6,3,-3
7484,4,2,2,2
7485,0,1,1,-1
7486,4,8,4,-4
7487,8,9,1,-1
7488,9,2,7,7
7489,2,8,6,-6
7490,8,10,2,-2
7491,6,2,4,4
7492,6,3,3,3
7493,3,4,1,-1
7494,5,7,2,-2
7495,2,1,1,1
7496,7,0,7,7
7497,1,0,1,1
7498,2,11,9,-9
7499,7,2,5,5
7500,6,1,5,5
7501,3,4,1,-1
7502,0,5,5,-5
7503,6,10,4,-4
7504,6,3,3,3
7505,6,2,4,4
7506,0,2,2,-2
7507,1,3,2,-2
7508,2,6,4,-4
7509,1,11,10,-10
7510,3,11,8,-8
7511,2,7,5,-5
7512,4,3,1,1
7513,6,4,2,2
7514,1,8,7,-7
7515,2,3,1,-1
7516,3,8,5,-5
7517,0,7,7,-7
7518,9,4,5,5
7519,2,1,1,1
7520,1,3,2,-2
7521,4,5,1,-1
7522,1,7,6,-6
7523,2,8,6,-6
7524,0,6,6,-6
7525,2,3,1,-1
7526,0,10,10,-10
7527,5,7,2,-2
7528,1,6,5,-5
7529,3,4,1,-1
7530,2,1,1,1
7531,19,6,13,13
7532,0,1,1,-1
7533,0,5,5,-5
7534,5,3,2,2
7535,2,3,1,-1
7536,3,4,1,-1
7537,1,5,4,-4
7538,7,6,1,1
7539,5,0,5,5
7540,1,3,2,-2
7541,0,2,2,-2
7542,3,4,1,-1
7543,7,4,3,3
7544,4,2,2,2
7545,5,4,1,1
7546,5,3,2,2
7547,5,4,1,1
7548,1,8,7,-7
7549,3,11,8,-8
7550,4,8,4,-4
7551,6,10,4,-4
7552,5,4,1,1
7553,2,4,2,-2
7554,0,2,2,-2
7555,3,7,4,-4
7556,2,4,2,-2
7557,0,5,5,-5
7558,7,6,1,1
7559,1,2,1,-1
7560,6,9,3,-3
7561,3,2,1,1
7562,7,1,6,6
7563,1,5,4,-4
7564,4,5,1,-1
7565,2,3,1,-1
7566,7,1,6,6
7567,4,5,1,-1
7568,3,2,1,1
7569,4,5,1,-1
7570,3,4,1,-1
7571,13,0,13,13
7572,2,3,1,-1
7573,3,4,1,-1
7574,8,5,3,3
7575,4,3,1,1
7576,4,2,2,2
7577,4,3,1,1
7578,10,2,8,8
7579,7,2,5,5
7580,2,0,2,2
7581,6,3,3,3
7582,6,4,2,2
7583,2,0,2,2
7584,11,3,8,8
7585,6,5,1,1
7586,5,6,1,-1
7587,2,3,1,-1
7588,5,7,2,-2
7589,3,10,7,-7
7590,0,3,3,-3
7591,0,1,1,-1
7592,5,6,1,-1
7593,3,7,4,-4
7594,5,3,2,2
7595,1,2,1,-1
7596,3,2,1,1
7597,4,2,2,2
7598,2,7,5,-5
7599,2,5,3,-3
7600,8,3,5,5
7601,2,1,1,1
7602,3,5,2,-2
7603,10,2,8,8
7604,0,6,6,-6
7605,2,3,1,-1
7606,4,3,1,1
7607,3,2,1,1
7608,6,4,2,2
7609,1,8,7,-7
7610,3,7,4,-4
7611,4,5,1,-1
7612,0,10,10,-10
7613,4,3,1,1
7614,4,6,2,-2
7615,3,0,3,3
7616,6,3,3,3
7617,6,3,3,3
7618,5,7,2,-2
7619,4,2,2,2
7620,4,0,4,4
7621,1,2,1,-1
7622,1,9,8,-8
7623,0,1,1,-1
7624,4,8,4,-4
7625,10,4,6,6
7626,4,7,3,-3
7627,2,3,1,-1
7628,2,7,5,-5
7629,4,5,1,-1
7630,7,3,4,4
7631,2,3,1,-1
7632,2,3,1,-1
7633,6,4,2,2
7634,3,2,1,1
7635,9,4,5,5
7636,7,8,1,-1
7637,5,3,2,2
7638,3,6,3,-3
7639,1,6,5,-5
7640,8,3,5,5
7641,3,8,5,-5
7642,0,9,9,-9
7643,10,3,7,7
7644,0,5,5,-5
7645,2,3,1,-1
7646,8,9,1,-1
7647,1,2,1,-1
7648,2,4,2,-2
7649,0,2,2,-2
7650,4,6,2,-2
7651,5,1,4,4
7652,4,6,2,-2
7653,9,0,9,9
7654,5,2,3,3
7655,3,4,1,-1
7656,9,0,9,9
7657,9,1,8,8
7658,8,10,2,-2
7659,2,6,4,-4
7660,6,4,2,2
7661,2,3,1,-1
7662,3,5,2,-2
7663,12,2,10,10
7664,3,4,1,-1
7665,4,10,6,-6
7666,2,1,1,1
7667,2,14,12,-12
7668,1,6,5,-5
7669,2,8,6,-6
7670,4,7,3,-3
7671,6,10,4,-4
7672,7,2,5,5
7673,6,10,4,-4
7674,7,9,2,-2
7675,2,1,1,1
7676,1,8,7,-7
7677,13,7,6,6
7678,2,6,4,-4
7679,1,2,1,-1
7680,8,12,4,-4
7681,1,2,1,-1
7682,0,6,6,-6
7683,6,2,4,4
7684,8,9,1,-1
7685,4,5,1,-1
7686,5,4,1,1
7687,3,8,5,-5
7688,5,2,3,3
7689,10,1,9,9
7690,9,6,3,3
7691,2,0,2,2
7692,2,6,4,-4
7693,7,3,4,4
7694,7,6,1,1
7695,6,4,2,2
7696,2,4,2,-2
7697,5,1,4,4
7698,7,3,4,4
7699,3,1,2,2
7700,3,1,2,2
7701,3,1,2,2
7702,4,2,2,2
7703,6,5,1,1
7704,2,7,5,-5
7705,0,4,4,-4
7706,6,7,1,-1
7707,4,3,1,1
7708,2,0,2,2
7709,0,7,7,-7
7710,4,0,4,4
7711,7,5,2,2
7712,6,5,1,1
7713,7,4,3,3
7714,6,1,5,5
7715,1,4,3,-3
7716,1,3,2,-2
7717,6,7,1,-1
7718,1,2,1,-1
7719,5,4,1,1
7720,3,7,4,-4
7721,17,2,15,15
7722,0,2,2,-2
7723,2,4,2,-2
7724,1,5,4,-4
7725,8,1,7,7
7726,6,4,2,2
7727,3,9,6,-6
7728,7,6,1,1
7729,2,0,2,2
7730,5,4,1,1
7731,8,1,7,7
7732,9,10,1,-1
7733,8,4,4,4
7734,4,2,2,2
7735,9,0,9,9
7736,5,6,1,-1
7737,5,4,1,1
7738,3,4,1,-1
7739,2,10,8,-8
7740,4,9,5,-5
7741,7,4,3,3
7742,8,3,5,5
7743,10,1,9,9
7744,14,2,12,12
7745,6,2,4,4
7746,1,5,4,-4
7747,3,4,1,-1
7748,5,6,1,-1
7749,3,7,4,-4
7750,2,1,1,1
7751,8,7,1,1
7752,2,9,7,-7
7753,7,4,3,3
7754,9,2,7,7
7755,0,5,5,-5
7756,6,2,4,4
7757,3,4,1,-1
7758,6,1,5,5
7759,0,1,1,-1
7760,6,7,1,-1
7761,6,4,2,2
7762,1,2,1,-1
7763,4,5,1,-1
7764,0,2,2,-2
7765,5,3,2,2
7766,3,6,3,-3
7767,0,1,1,-1
7768,1,4,3,-3
7769,1,5,4,-4
7770,6,2,4,4
7771,3,5,2,-2
7772,15,8,7,7
7773,3,4,1,-1
7774,1,3,2,-2
7775,4,10,6,-6
7776,5,4,1,1
7777,7,2,5,5
7778,3,2,1,1
7779,3,2,1,1
7780,4,1,3,3
7781,6,3,3,3
7782,2,1,1,1
7783,0,1,1,-1
7784,3,4,1,-1
7785,1,3,2,-2
7786,6,2,4,4
7787,5,3,2,2
7788,2,9,7,-7
7789,6,5,1,1
7790,4,5,1,-1
7791,1,2,1,-1
7792,3,1,2,2
7793,2,3,1,-1
7794,6,3,3,3
7795,4,5,1,-1
7796,0,5,5,-5
7797,7,5,2,2
7798,4,10,6,-6
7799,4,2,2,2
7800,11,6,5,5
7801,9,6,3,3
7802,3,6,3,-3
7803,3,6,3,-3
7804,2,3,1,-1
7805,3,4,1,-1
7806,5,4,1,1
7807,7,3,4,4
7808,2,8,6,-6
7809,0,3,3,-3
7810,3,7,4,-4
7811,3,2,1,1
7812,3,2,1,1
7813,7,6,1,1
7814,8,7,1,1
7815,3,2,1,1
7816,5,8,3,-3
7817,4,3,1,1
7818,7,8,1,-1
7819,3,1,2,2
7820,7,13,6,-6
7821,1,7,6,-6
7822,11,2,9,9
7823,1,10,9,-9
7824,0,3,3,-3
7825,8,2,6,6
7826,12,4,8,8
7827,0,3,3,-3
7828,4,3,1,1
7829,12,7,5,5
7830,4,2,2,2
7831,6,0,6,6
7832,1,6,5,-5
7833,2,4,2,-2
7834,4,2,2,2
7835,1,5,4,-4
7836,3,5,2,-2
7837,3,2,1,1
7838,1,5,4,-4
7839,8,2,6,6
7840,2,1,1,1
7841,11,4,7,7
7842,0,1,1,-1
7843,7,0,7,7
7844,2,7,5,-5
7845,3,10,7,-7
7846,1,5,4,-4
7847,10,1,9,9
7848,1,9,8,-8
7849,6,2,4,4
7850,5,1,4,4
7851,3,6,3,-3
7852,2,6,4,-4
7853,3,2,1,1
7854,2,6,4,-4
7855,4,2,2,2
7856,3,4,1,-1
7857,6,5,1,1
7858,3,5,2,-2
7859,6,10,4,-4
7860,0,2,2,-2
7861,9,4,5,5
7862,0,2,2,-2
7863,6,2,4,4
7864,2,6,4,-4
7865,3,4,1,-1
7866,4,10,6,-6
7867,9,5,4,4
7868,8,4,4,4
7869,7,5,2,2
7870,9,4,5,5
7871,12,2,10,10
7872,6,2,4,4
7873,9,2,7,7
7874,3,11,8,-8
7875,3,5,2,-2
7876,3,6,3,-3
7877,1,3,2,-2
7878,4,0,4,4
7879,10,4,6,6
7880,1,3,2,-2
7881,2,4,2,-2
7882,5,4,1,1
7883,3,2,1,1
7884,4,3,1,1
7885,4,10,6,-6
7886,8,6,2,2
7887,5,3,2,2
7888,1,7,6,-6
7889,6,2,4,4
7890,5,2,3,3
7891,3,0,3,3
7892,12,10,2,2
7893,3,6,3,-3
7894,3,2,1,1
7895,0,5,5,-5
7896,1,2,1,-1
7897,2,1,1,1
7898,5,8,3,-3
7899,3,2,1,1
7900,9,10,1,-1
7901,9,2,7,7
7902,3,5,2,-2
7903,4,5,1,-1
7904,6,5,1,1
7905,6,7,1,-1
7906,9,12,3,-3
7907,10,6,4,4
7908,4,5,1,-1
7909,12,5,7,7
7910,2,7,5,-5
7911,1,2,1,-1
7912,2,7,5,-5
7913,1,3,2,-2
7914,2,8,6,-6
7915,2,10,8,-8
7916,1,0,1,1
7917,10,0,10,10
7918,4,2,2,2
7919,1,2,1,-1
7920,6,4,2,2
7921,2,6,4,-4
7922,3,1,2,2
7923,0,6,6,-6
7924,5,1,4,4
7925,3,4,1,-1
7926,8,11,3,-3
7927,2,5,3,-3
7928,4,3,1,1
7929,0,5,5,-5
7930,1,2,1,-1
7931,2,3,1,-1
7932,0,1,1,-1
7933,4,13,9,-9
7934,2,4,2,-2
7935,6,4,2,2
7936,4,6,2,-2
7937,8,10,2,-2
7938,5,6,1,-1
7939,9,2,7,7
7940,5,7,2,-2
7941,1,5,4,-4
7942,5,1,4,4
7943,1,5,4,-4
7944,3,1,2,2
7945,4,3,1,1
7946,2,4,2,-2
7947,0,8,8,-8
7948,0,12,12,-12
7949,2,3,1,-1
7950,1,3,2,-2
7951,5,1,4,4
7952,7,3,4,4
7953,1,0,1,1
7954,4,3,1,1
7955,4,5,1,-1
7956,4,5,1,-1
7957,7,3,4,4
7958,2,5,3,-3
7959,4,0,4,4
7960,4,5,1,-1
7961,10,2,8,8
7962,2,4,2,-2
7963,1,7,6,-6
7964,3,6,3,-3
7965,6,2,4,4
7966,11,7,4,4
7967,1,3,2,-2
7968,1,3,2,-2
7969,3,4,1,-1
7970,3,8,5,-5
7971,1,4,3,-3
7972,3,0,3,3
7973,9,2,7,7
7974,7,4,3,3
7975,0,1,1,-1
7976,5,3,2,2
7977,2,1,1,1
7978,12,3,9,9
7979,6,7,1,-1
7980,5,4,1,1
7981,6,12,6,-6
7982,2,4,2,-2
7983,1,8,7,-7
7984,3,4,1,-1
7985,0,6,6,-6
7986,6,5,1,1
7987,5,2,3,3
7988,9,5,4,4
7989,9,4,5,5
7990,10,6,4,4
7991,2,5,3,-3
7992,4,7,3,-3
7993,7,0,7,7
7994,1,2,1,-1
7995,7,5,2,2
7996,5,0,5,5
7997,2,5,3,-3
7998,4,7,3,-3
7999,1,2,1,-1
8000,3,2,1,1
8001,11,5,6,6
8002,7,0,7,7
8003,5,2,3,3
8004,4,3,1,1
8005,6,5,1,1
8006,10,4,6,6
8007,2,5,3,-3
8008,3,5,2,-2
8009,5,2,3,3
8010,6,0,6,6
8011,5,6,1,-1
8012,5,3,2,2
8013,5,6,1,-1
8014,3,5,2,-2
8015,1,6,5,-5
8016,6,2,4,4
8017,5,2,3,3
8018,3,4,1,-1
8019,3,8,5,-5
8020,5,6,1,-1
8021,5,6,1,-1
8022,5,4,1,1
8023,5,3,2,2
8024,5,4,1,1
8025,2,4,2,-2
8026,3,7,4,-4
8027,1,6,5,-5
8028,3,9,6,-6
8029,7,0,7,7
8030,5,6,1,-1
8031,2,3,1,-1
8032,6,3,3,3
8033,1,4,3,-3
8034,0,9,9,-9
8035,6,10,4,-4
8036,3,9,6,-6
8037,3,5,2,-2
8038,4,5,1,-1
8039,2,4,2,-2
8040,7,8,1,-1
8041,6,3,3,3
8042,1,2,1,-1
8043,6,2,4,4
8044,3,1,2,2
8045,1,0,1,1
8046,2,1,1,1
8047,4,1,3,3
8048,3,6,3,-3
8049,6,1,5,5
8050,6,7,1,-1
8051,7,6,1,1
8052,2,8,6,-6
8053,0,3,3,-3
8054,6,5,1,1
8055,1,2,1,-1
8056,3,9,6,-6
8057,3,4,1,-1
8058,6,9,3,-3
8059,2,5,3,-3
8060,1,4,3,-3
8061,9,4,5,5
8062,3,0,3,3
8063,3,9,6,-6
8064,6,3,3,3
8065,3,1,2,2
8066,3,4,1,-1
8067,3,5,2,-2
8068,2,3,1,-1
8069,9,6,3,3
8070,3,5,2,-2
8071,2,3,1,-1
8072,0,2,2,-2
8073,1,7,6,-6
8074,6,8,2,-2
8075,3,1,2,2
8076,5,9,4,-4
8077,3,11,8,-8
8078,3,8,5,-5
8079,7,5,2,2
8080,5,2,3,3
8081,9,2,7,7
8082,0,1,1,-1
8083,7,1,6,6
8084,2,5,3,-3
8085,4,2,2,2
8086,6,3,3,3
8087,5,7,2,-2
8088,9,2,7,7
8089,3,0,3,3
8090,1,4,3,-3
8091,0,3,3,-3
8092,2,7,5,-5
8093,3,2,1,1
8094,2,7,5,-5
8095,7,5,2,2
8096,1,5,4,-4
8097,8,5,3,3
8098,6,0,6,6
8099,3,4,1,-1
8100,2,0,2,2
8101,10,3,7,7
8102,0,5,5,-5
8103,4,5,1,-1
8104,11,1,10,10
8105,3,4,1,-1
8106,4,1,3,3
8107,1,2,1,-1
8108,12,4,8,8
8109,6,7,1,-1
8110,1,8,7,-7
8111,4,3,1,1
8112,2,0,2,2
8113,3,4,1,-1
8114,0,8,8,-8
8115,1,7,6,-6
8116,5,4,1,1
8117,2,4,2,-2
8118,11,3,8,8
8119,0,10,10,-10
8120,3,0,3,3
8121,0,2,2,-2
8122,1,3,2,-2
8123,3,6,3,-3
8124,8,4,4,4
8125,2,7,5,-5
8126,6,11,5,-5
8127,5,7,2,-2
8128,4,5,1,-1
8129,7,4,3,3
8130,4,2,2,2
8131,2,1,1,1
8132,4,7,3,-3
8133,2,4,2,-2
8134,2,7,5,-5
8135,0,3,3,-3
8136,1,2,1,-1
8137,10,2,8,8
8138,2,7,5,-5
8139,1,7,6,-6
8140,3,4,1,-1
8141,5,17,12,-12
8142,1,10,9,-9
8143,4,1,3,3
8144,3,0,3,3
8145,3,4,1,-1
8146,4,7,3,-3
8147,4,5,1,-1
8148,5,4,1,1
8149,7,9,2,-2
8150,3,4,1,-1
8151,3,7,4,-4
8152,1,2,1,-1
8153,7,6,1,1
8154,2,3,1,-1
8155,8,6,2,2
8156,3,2,1,1
8157,3,0,3,3
8158,7,11,4,-4
8159,1,4,3,-3
8160,4,6,2,-2
8161,7,5,2,2
8162,0,5,5,-5
8163,12,4,8,8
8164,6,2,4,4
8165,6,1,5,5
8166,1,6,5,-5
8167,4,0,4,4
8168,10,3,7,7
8169,10,1,9,9
8170,3,6,3,-3
8171,5,4,1,1
8172,2,5,3,-3
